num,data_div,unrestricted_axis,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
0,10,2,9,24,0.8681484460830688,5,29,-0.011613059788942337,9,24,11,25,0.6024033427238464
0,20,2,9,21,0.7355820536613464,5,29,0.09729354083538055,9,20,14,7,0.601213812828064
0,30,2,8,25,0.6189687252044678,5,29,0.3133789300918579,8,18,13,2,0.6859993934631348
0,40,2,8,22,0.5724656581878662,5,29,0.4876326322555542,8,13,13,1,0.7602237462997437
2,10,0,9,27,0.39358004927635193,14,29,0.4253295361995697,13,18,12,29,0.45225682854652405
2,20,0,9,24,0.419717401266098,14,29,0.413730263710022,13,17,12,28,0.48651787638664246
2,30,0,8,29,0.47764837741851807,14,29,0.41568461060523987,10,15,10,29,0.5795415639877319
2,40,0,8,29,0.348810613155365,14,3,0.5416579246520996,9,11,12,3,0.6487122774124146
4,10,1,8,23,0.48954641819000244,7,5,0.44162726402282715,8,26,9,11,0.4935750365257263
4,20,1,8,20,0.46992677450180054,5,7,0.4768804609775543,8,20,9,5,0.5171881914138794
4,30,1,8,18,0.4199419319629669,5,6,0.49627596139907837,8,18,8,4,0.5062861442565918
4,40,1,8,18,0.4416496455669403,5,6,0.5541407465934753,8,19,8,4,0.5529736876487732
6,10,2,9,27,0.35646453499794006,14,12,0.3969714045524597,11,29,12,21,0.25616949796676636
6,20,2,9,28,0.31806957721710205,14,13,0.35727739334106445,12,29,13,23,0.2185388207435608
6,30,2,9,29,0.32169440388679504,14,12,0.3527177572250366,10,29,11,18,0.2192590832710266
6,40,2,9,26,0.38701221346855164,14,11,0.4412464201450348,10,29,11,17,0.28710395097732544
8,10,2,8,29,0.4578009247779846,14,29,-0.056336112320423126,8,29,14,21,0.24049001932144165
8,20,2,8,29,0.48534244298934937,14,29,-0.0862070769071579,8,29,14,21,0.268118679523468
8,30,2,8,29,0.32437142729759216,14,29,-0.054731402546167374,8,29,13,28,0.17640359699726105
8,40,2,8,29,0.26538974046707153,5,29,0.11500903218984604,8,29,10,5,0.28305500745773315
40,10,2,9,23,0.5921474695205688,14,29,-0.008708089590072632,9,22,11,20,0.41897135972976685
40,20,2,9,20,0.6258740425109863,14,29,0.018054619431495667,11,15,11,29,0.45998653769493103
40,30,2,9,17,0.5598257184028625,5,29,-0.008669602684676647,14,14,13,26,0.41133907437324524
40,40,2,9,15,0.6785933375358582,5,29,0.18688315153121948,9,14,14,5,0.6144118905067444
42,10,0,14,29,0.5506666302680969,14,29,0.18843235075473785,10,28,11,29,0.3889685273170471
42,20,0,9,28,0.5420583486557007,14,29,0.11384178698062897,10,24,11,28,0.40970951318740845
42,30,0,9,21,0.6455807089805603,14,29,0.1398538202047348,9,20,10,29,0.5415735840797424
42,40,0,9,17,0.5976084470748901,5,5,0.28132814168930054,9,15,14,4,0.6209325194358826
44,10,1,9,19,0.607193112373352,14,4,0.4432746171951294,9,20,10,23,0.5318411588668823
44,20,1,9,20,0.6614508032798767,14,4,0.5298858880996704,9,22,10,21,0.5870208740234375
44,30,1,8,29,0.6232044100761414,14,4,0.5516136288642883,8,29,9,21,0.5883644819259644
44,40,1,8,28,0.49138644337654114,12,4,0.5180239081382751,9,20,11,7,0.5127126574516296
46,10,2,8,29,0.3561619222164154,7,13,0.35700538754463196,9,28,11,6,0.3103283941745758
46,20,2,8,29,0.602232038974762,14,7,0.6239104270935059,12,22,14,14,0.5306781530380249
46,30,2,9,23,0.5714728236198425,14,8,0.6060289144515991,10,27,11,17,0.48874717950820923
46,40,2,9,23,0.549163818359375,14,8,0.5641493797302246,13,26,14,22,0.4668900668621063
48,10,2,8,29,0.33508458733558655,14,29,-0.021113013848662376,8,29,13,28,0.20651967823505402
48,20,2,8,29,0.4500676393508911,14,29,0.03489597514271736,8,29,10,25,0.3162389099597931
48,30,2,8,29,0.42451128363609314,14,29,0.08881442993879318,9,17,10,26,0.33552873134613037
48,40,2,9,27,0.31765514612197876,5,29,0.18599003553390503,9,22,13,5,0.31376123428344727
80,10,2,9,23,0.823531985282898,5,29,-0.06305798143148422,9,23,14,11,0.567199170589447
80,20,2,8,29,0.7710416913032532,5,29,0.03399011492729187,8,29,14,5,0.6217718720436096
80,30,2,8,29,0.6381882429122925,5,29,0.016462402418255806,8,29,14,5,0.5199793577194214
80,40,2,8,23,0.5166363716125488,5,29,0.11776294559240341,8,16,14,2,0.50594562292099
82,10,0,9,29,0.347908079624176,14,29,0.19915993511676788,13,23,13,29,0.2963399887084961
82,20,0,8,22,0.15846318006515503,14,0,0.15582361817359924,7,7,6,0,0.25511497259140015
82,30,0,8,29,0.4060119688510895,14,29,0.334494024515152,10,15,10,29,0.4538149833679199
82,40,0,9,24,0.36925816535949707,14,29,0.3144484758377075,13,16,12,27,0.4418447017669678
84,10,1,8,15,0.7089264392852783,4,3,0.586304247379303,8,15,14,2,0.7044578194618225
84,20,1,8,16,0.7854565978050232,4,2,0.6400147676467896,8,16,13,2,0.7987822890281677
84,30,1,8,18,0.7343714833259583,10,2,0.7865496873855591,8,21,9,4,0.8256204724311829
84,40,1,7,24,0.6307605504989624,4,3,0.7410760521888733,8,11,8,2,0.7633225917816162
86,10,2,9,23,0.5478690266609192,14,6,0.5270332098007202,12,23,13,19,0.47121018171310425
86,20,2,9,26,0.5263049602508545,14,8,0.5132192969322205,10,29,11,20,0.4245228171348572
86,30,2,9,23,0.5969489812850952,14,8,0.616684079170227,10,28,11,18,0.5074467062950134
86,40,2,9,24,0.4911342263221741,14,7,0.4833066761493683,10,28,11,19,0.408677875995636
88,10,2,8,29,0.3780430555343628,14,29,-0.0420154370367527,8,29,10,26,0.2823873460292816
88,20,2,8,28,0.3691217601299286,14,29,-0.05391431972384453,8,28,13,27,0.2549976706504822
88,30,2,8,29,0.45268693566322327,14,29,-0.02291478030383587,8,29,10,29,0.3397790491580963
88,40,2,8,24,0.12298669666051865,8,29,-0.025613967329263687,8,22,14,6,0.09468826651573181
120,10,2,8,29,0.30405694246292114,14,29,0.26607832312583923,12,15,11,29,0.3415071368217468
120,20,2,8,29,0.2541387379169464,14,29,0.13978707790374756,14,14,12,29,0.23665443062782288
120,30,2,8,29,0.3379778265953064,14,29,0.23001398146152496,10,15,10,29,0.3930050730705261
120,40,2,8,27,0.27627357840538025,14,29,0.20011544227600098,8,12,13,1,0.35465720295906067
122,10,0,9,25,0.2601551115512848,14,29,0.20216433703899384,11,19,11,28,0.2904684245586395
122,20,0,9,29,0.2620590925216675,14,29,0.24545906484127045,11,20,11,29,0.3070279061794281
122,30,0,9,24,0.26756551861763,14,11,0.27826982736587524,11,15,13,11,0.3799724578857422
122,40,0,9,23,0.19735676050186157,14,29,0.1443953663110733,13,16,12,27,0.24374337494373322
124,10,1,9,18,0.4533812701702118,14,4,0.6064425110816956,9,22,11,6,0.5429337620735168
124,20,1,8,27,0.5080904364585876,12,4,0.6909754872322083,9,20,11,5,0.6339495182037354
124,30,1,8,29,0.4474593997001648,13,5,0.6342142820358276,9,21,10,9,0.5324245095252991
124,40,1,8,25,0.45062685012817383,9,4,0.610163688659668,8,29,8,7,0.5732206106185913
126,10,2,8,22,0.31871041655540466,6,7,0.3279029130935669,8,26,6,8,0.31140828132629395
126,20,2,8,24,0.29799777269363403,6,8,0.3078594505786896,8,29,6,9,0.287962406873703
126,30,2,8,24,0.31395500898361206,6,8,0.31785905361175537,8,28,7,7,0.303228497505188
126,40,2,8,23,0.318729966878891,6,8,0.32657140493392944,8,27,6,9,0.30774345993995667
128,10,2,8,29,0.20359717309474945,14,29,-0.014643337577581406,8,29,12,24,0.09186911582946777
128,20,2,9,26,0.16371089220046997,14,29,0.003164096036925912,9,26,12,29,0.05164732784032822
128,30,2,13,29,0.0969608947634697,14,29,0.046194471418857574,10,29,11,29,0.02453998290002346
128,40,2,9,24,0.07894665002822876,14,29,0.00419216975569725,9,24,12,27,0.024780675768852234
